title|likes|url
It’s Just Business|1200000|https://www.webtoons.com/en/romance/its-just-business/list?title_no=6201
In Between|1200000|https://www.webtoons.com/en/romance/in-between/list?title_no=6753
I'm Dating a Psychopath|1200000|https://www.webtoons.com/en/thriller/im-dating-a-psycopath/list?title_no=5877
Housekeeper|1200000|https://www.webtoons.com/en/sf/housekeeper/list?title_no=3479
Duchess in Ruins|1200000|https://www.webtoons.com/en/romance/duchess-in-ruins/list?title_no=7109
Changing the Genre From Angst to Heartwarming|1200000|https://www.webtoons.com/en/romance/changing-the-genre-from-angst-to-heartwarming/list?title_no=6878
BlackSun|1200000|https://www.webtoons.com/en/action/blacksun/list?title_no=4082
21st Century Knights|1200000|https://www.webtoons.com/en/fantasy/21st-century-knights/list?title_no=2718
1 Second|1200000|https://www.webtoons.com/en/action/1-second/list?title_no=4322
X & Ash|1100000|https://www.webtoons.com/en/action/x-and-ash/list?title_no=3992
The Primal Hunter|1100000|https://www.webtoons.com/en/action/the-primal-hunter/list?title_no=5970
The Perfect Contract|1100000|https://www.webtoons.com/en/romance/the-perfect-contract/list?title_no=6756
The Flower That Swallowed the Beast|1100000|https://www.webtoons.com/en/fantasy/the-flower-that-swallowed-the-beast/list?title_no=6993
The Dog Diaries|1100000|https://www.webtoons.com/en/slice-of-life/the-dog-diaries/list?title_no=3041
That Which Flows By|1100000|https://www.webtoons.com/en/historical/that-which-flows-by/list?title_no=5419
Steel-Eating Player|1100000|https://www.webtoons.com/en/action/steel-eating-player/list?title_no=5966
Returned by the King|1100000|https://www.webtoons.com/en/action/returned-by-the-king/list?title_no=6213
Resigning and Healing in Another World|1100000|https://www.webtoons.com/en/fantasy/resigning-and-healing-in-another-world/list?title_no=5264
Potion Witch|1100000|https://www.webtoons.com/en/fantasy/potion-witch/list?title_no=6210
Fictional Skin|1100000|https://www.webtoons.com/en/drama/fictional-skin/list?title_no=3272
Defects|1100000|https://www.webtoons.com/en/fantasy/defects/list?title_no=2731
Cloud Walker|1100000|https://www.webtoons.com/en/action/cloud-walker/list?title_no=2730
A Savage Proposal|1100000|https://www.webtoons.com/en/romance/a-savage-proposal/list?title_no=7121
A Demon's Wish|1100000|https://www.webtoons.com/en/romance/a-demons-wish/list?title_no=6314
You Can’t Kill Me: The Secret Bride of the Black Wolf|1000000|https://www.webtoons.com/en/romance/you-cant-kill-me-the-secret-bride-of-the-black-wolf/list?title_no=6748
Unstoppable Hayeong|1000000|https://www.webtoons.com/en/drama/unstoppable-hayeong/list?title_no=5543
Time and Time Again|1000000|https://www.webtoons.com/en/supernatural/time-and-time-again/list?title_no=3758
The Regressed Mercenary Has a Plan|1000000|https://www.webtoons.com/en/action/the-regressed-mercenary-has-a-plan/list?title_no=7261
The Beloved Incompetent Stepmom|1000000|https://www.webtoons.com/en/romance/the-beloved-incompetent-stepmom/list?title_no=7492
Rules for Dating Trash|1000000|https://www.webtoons.com/en/romance/rules-for-dating-trash/list?title_no=7878
Plus One|1000000|https://www.webtoons.com/en/slice-of-life/plus-one/list?title_no=6208
Oversummoned, Overpowered, and Over It!|1000000|https://www.webtoons.com/en/fantasy/oversummoned-overpowered-and-over-it/list?title_no=7182
One Husband Is Enough|1000000|https://www.webtoons.com/en/romance/one-husband-is-enough/list?title_no=6677
Monster Princess of the Snowy Mountain|1000000|https://www.webtoons.com/en/fantasy/monster-princess-of-the-snowy-mountain/list?title_no=6534
Introverted Us|1000000|https://www.webtoons.com/en/comedy/introverted-us/list?title_no=6851
I Became a Level 999 Demon Queen|1000000|https://www.webtoons.com/en/fantasy/i-became-a-level-999-demon-queen/list?title_no=6880
Hidden Class Gravity User|1000000|https://www.webtoons.com/en/fantasy/hidden-class-gravity-user/list?title_no=6679
Here There Be Dragons|1000000|https://www.webtoons.com/en/fantasy/here-there-be-dragons/list?title_no=2726
Ex-Love Review|1000000|https://www.webtoons.com/en/romance/ex-love-review/list?title_no=7697
Cross My Heart and Hope to Die|1000000|https://www.webtoons.com/en/fantasy/cross-my-heart-and-hope-to-die/list?title_no=5835
After Dark|1000000|https://www.webtoons.com/en/horror/after-dark/list?title_no=5110
A DeadbEAT's Meal|1000000|https://www.webtoons.com/en/slice-of-life/a-deadbeats-meal/list?title_no=3910
A Child Who Looks Like Me|1000000|https://www.webtoons.com/en/romance/a-child-who-looks-like-me/list?title_no=6649
A Dance of Swords in the Night|946425|https://www.webtoons.com/en/action/a-dance-of-swords-in-the-night/list?title_no=4596
Becoming the Monarch|934240|https://www.webtoons.com/en/fantasy/becoming-the-monarch/list?title_no=5549
Degree of Love|929011|https://www.webtoons.com/en/romance/degree-of-love/list?title_no=6316
Peaceful Camping Life in Another World|908800|https://www.webtoons.com/en/fantasy/peaceful-camping-life-in-another-world/list?title_no=6674
Vibe Check!|883524|https://www.webtoons.com/en/comedy/vibe-check/list?title_no=2724
Immortal Weakling|876419|https://www.webtoons.com/en/super-hero/immortal-weakling/list?title_no=2733
Seasons of Lovesome|873435|https://www.webtoons.com/en/romance/seasons-of-lovesome/list?title_no=6881
